,business,state,zip,zip_match_percent,name_match_percent,combined_percent,master_businessname,master_zip,duplicat?,duplicate?
57660,TOM SHANKSTER,CO,80018,60,45,48.0,Tuff Shed,80210,0,0.0
58007,JENNIFER K FAIKE,CO,80439,60,41,44.800000000000004,Dana Kepner Co Inc,80204,0,0.0
58013,"CML SECURITY, LLC",CO,80516,80,51,56.800000000000004,Deer Lake Electric Llc,80016,0,0.0
58131,"ANC AK HOLDINGS, LLC",CO,80206,60,58,58.400000000000006,Local Insight Media Holdings Inc,80112,0,0.0
58132,"ROSS AVIATION OPERATIONS, LLC",CO,80206,60,56,56.800000000000004,"Aimco Properties, L.P",80237,0,0.0
58560,THE PALMER PARK LIMITED PARTNERSHIP,CO,80204,40,53,50.400000000000006,The Hail Repair Center,81226,0,0.0
58765,AR SERVICES,CO,81502,60,62,61.6,Intec Services Inc,80527,0,0.0
58823,"ALEUT INFORMATION TECHNOLOGY, LLC",CO,80919,60,49,51.2,Gallagher Transport International Inc,80239,0,0.0
59034,ROSS AVIATION - ANCHORAGE,CO,80209,80,53,58.400000000000006,Compassion & Choices,80250,0,0.0
59292,COLORADO OUTWARD BOUND SCHOOL,CO,80212,80,44,51.2,Financial Freedom Senior Funding Corporation,80112,0,0.0
60165,COLLECTIVE GOODS,CO,80027,60,47,49.6,Colorel Blinds,80011,0,0.0
60256,"MINING & ENVIRONMENTAL SERVICES, LLC",CO,80452,80,52,57.6,Intec Services Inc,80527,0,0.0
60368,"ALEUT OPERATIONS, LLC",CO,80919,60,62,61.6,Apex Companies LLC,80401,0,0.0
60822,"LDRSHIP SOLUTIONS, LLC",CO,80134,60,64,63.2,Horizon Family Solutions LLC,80303,0,0.0
61142,"STATEBRIDGE COMPANY, LLC",CO,80111,80,63,66.4,Wiesner Publishing Company LLC,80112,0,0.0
61431,AGAMERICA.NET,CO,80918,60,55,56.0,MWH Americas Inc,80021,0,0.0
61469,DBT TRANSPORTATION SERVICES,CO,80026,60,70,68.0,Traemand Installation Services,80210,0,0.0
61470,DBT TRANSPORTATION SERVICES,CO,80026,60,70,68.0,Traemand Installation Services,80210,0,0.0
61878,AIR METHODS CORPORATION,CO,80112,100,57,65.6,Financial Freedom Senior Funding Corporation,80112,0,0.0
62501,BATTELLE ECOLOGY,CO,80301,60,50,52.0,Smartstyle Salon,80006,0,0.0
62673,"W. KLUMKER SERVICES, INC.",CO,80467,60,65,64.0,Ol Reliable Services Inc,80134,0,0.0
63287,"DOSS AVIATION, INC.",CO,80917,60,61,60.800000000000004,"HomeAdvisor, Inc.",80401,0,0.0
63384,TIM'S TRIPS,CO,81413,60,44,47.2,Sports Authority,80110,0,0.0
63410,"ARMSTRONG ENERGY, LLC",CO,80202,60,56,56.800000000000004,"eWranglers, LLC",80211,0,0.0
63716,MICHAEL C ADAMS,CO,80831,80,43,50.4,Suite Escapes,80863,0,0.0
63717,MICHAEL ADAMS PA-C,CO,80831,60,47,49.6,MWH Americas Inc,80021,0,0.0
64307,VALDEZ MHP LLC,CO,81302,40,56,52.800000000000004,Apex Companies LLC,80401,0,0.0
64558,PARIS ENVIRONMENTAL LLC,CO,80403,60,56,56.800000000000004,4A Engraving LLC,80132,0,0.0
64676,LORRAINE GRUBE PA-C,CO,80816,60,47,49.6,Clarion Mortgage Capital,80111,0,0.0
64682,"TRUE LIFE ADVENTURES ALASKA, LLC",CO,81416,60,52,53.6,Madden Real Estate LLC,80014,0,0.0
64713,MCCARTHY POST,CO,80517,60,46,48.800000000000004,Cellular Plus,80435,0,0.0
64836,"AOH, LLC",CO,80112,80,52,57.6,"eWranglers, LLC",80211,0,0.0
65454,"SPATIAL BUSINESS SYSTEMS, INC.",CO,80235,60,54,55.2,"AIM Investment Solutions, Inc",80602,0,0.0
65528,CHAUTAUQUA EDUCATIONAL CONSULTING,CO,81147,40,49,47.2,Capital Dealer Solutions,80918,0,0.0
65725,S P H WORKS L.L.C.,CO,81654,60,76,72.80000000000001,DISH Network L.L.C.,80160,0,0.0
66369,"MINES AND ASSOCIATES, INC.",CO,80127,80,55,60.0,Intec Services Inc,80527,0,0.0
66373,AGRIUM FINANCIAL SERVICES,CO,80538,33,59,59.0,Evergreen Electrical Services,0,0,0.0
67146,CTS WEST,CO,80127,60,44,47.2,Ski Chalet,81647,0,0.0
67542,"CH2M HILL ENGINEERING SERVICES, INC",CO,80112,60,61,60.800000000000004,Ol Reliable Services Inc,80134,0,0.0
67903,"AIR POLLUTION TESTING, INC.",CO,80002,80,57,61.6,"AIM Investment Solutions, Inc",80602,0,0.0
68047,"FAST MANAGEMENT, INC.",CO,80112,100,45,56.0,Local Insight Media Holdings Inc,80112,0,0.0
68048,FAST LIMITED PARTNERSHIP,CO,80112,100,47,57.6,Fairwood Landing Apartments,80112,0,0.0
68623,HOLLAND & HART LLP,CO,80202,100,55,64.0,Machol & Johannes PLLC,80202,0,0.0
68629,"CENTENNIAL ENERGY, LLC",CO,80209,60,58,58.400000000000006,Hendersonian Design LLC,80122,0,0.0
68869,"WHOLE HEALTH, LLC",CO,81501,80,50,56.0,Clemmer Welding LLC,81505,0,0.0
69001,"GROUNDED TECHNOLOGIES, INCORPORATED",CO,80134,60,53,54.400000000000006,Translogic Corporation,80239,0,0.0
69232,"WILBUR ENGINEERING, INC.",CO,81301,40,60,56.0,"Grand Teton Painting, Inc.",80536,0,0.0
69299,"DORSEY ENTERTAINMENT, LLC",CO,80127,80,54,59.2,4A Engraving LLC,80132,0,0.0
69311,MISSION -CENTERED SOLUTIONS INC,CO,80116,60,67,65.6,"AIM Investment Solutions, Inc",80602,0,0.0
69721,"BOCO INVESTMENTS, LLC",CO,80524,60,60,60.0,"AIM Investment Solutions, Inc",80602,0,0.0
69776,SECURITY GRADE PROTECTIVE SERVICES,CO,80231,33,60,60.0,Evergreen Electrical Services,0,0,0.0
69777,SECURITY GRADE PROTECTIVE SERVICES,CO,80231,33,60,60.0,Evergreen Electrical Services,0,0,0.0
69780,BAD BAD CODE,CO,80921,100,36,48.8,Nana Pacific Llc,80921,0,0.0
69854,"ZAP ENGINEERING AND CONSTRUCTION SERVICES, INC.",CO,80226,60,57,57.6,Traemand Installation Services,80210,0,0.0
70019,VAISALA INC.,CO,80027,80,53,58.400000000000006,Atlantis Van Lines Inc,80247,0,0.0
70544,DOLEN AND ASSOCIATES,CO,99801,60,48,50.400000000000006,Madden Real Estate LLC,80014,0,0.0
70906,"JVA, INC.",CO,80302,60,54,55.2,"HomeAdvisor, Inc.",80401,0,0.0
71256,WESTCLIFFE WELDING,CO,81252,60,59,59.2,Clemmer Welding LLC,81505,0,0.0
71488,HENSEL PHELPS CONSTRUCTION CO.,CO,80631,80,87,85.60000000000001,Hensel Phelps Constr Co,80632,0,1.0
71489,HENSEL PHELPS CONSTRUCTION CO.,CO,80631,80,87,85.60000000000001,Hensel Phelps Constr Co,80632,0,1.0
71620,"ALL MOUNTAIN ADVENTURES, LLC",CO,81432,80,48,54.400000000000006,"Western Drilling Services, LLC",81402,0,0.0
71883,BENDONADAMS LLC,CO,81611,40,63,58.400000000000006,Hendersonian Design LLC,80122,0,0.0
72838,HEARTLAND BUSINESS CREDIT,CO,80228,60,51,52.800000000000004,Atlantis Van Lines Inc,80247,0,0.0
72937,"IN-SITU, INC.",CO,80524,60,59,59.2,"Ignite Media Group, Inc.",80237,0,0.0
73257,"CENTURY LINK PUBLIC COMMUNICATIONS, INC.",CO,80202,80,58,62.400000000000006,Level 3 Communications,80021,0,0.0
73573,"PALADIN COMMERCIAL GROUP, INC ",CO,80112,60,67,65.6,"Ignite Media Group, Inc.",80237,0,0.0
74519,ADVENTURES ON THE FLY ALASKA,CO,80541,60,48,50.400000000000006,Madden Real Estate LLC,80014,0,0.0
